PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,FAST EMA LENGTH,SLOW EMA LENGTH
"10, 100",−6.31 USDT,−6.31%,11.50 USDT,11.50%,211,51.66%,0.842,0,,0,10,100
"10, 1000",−1.33 USDT,−1.33%,3.00 USDT,2.99%,46,54.35%,0.832,0,,0,10,1000
"10, 110",−11.98 USDT,−11.98%,15.59 USDT,15.58%,201,49.75%,0.732,0,,0,10,110
"10, 120",−17.11 USDT,−17.11%,20.90 USDT,20.66%,195,47.69%,0.633,0,,0,10,120
"10, 130",−11.71 USDT,−11.71%,16.73 USDT,16.43%,181,48.07%,0.694,0,,0,10,130
"10, 140",−8.44 USDT,−8.44%,13.73 USDT,13.44%,157,54.14%,0.756,0,,0,10,140
"10, 150",−16.32 USDT,−16.32%,18.56 USDT,18.27%,167,50.90%,0.599,0,,0,10,150
"10, 160",−11.18 USDT,−11.18%,14.81 USDT,14.47%,155,50.97%,0.66,0,,0,10,160
"10, 170",−13.09 USDT,−13.09%,16.67 USDT,16.29%,143,54.55%,0.628,0,,0,10,170
"10, 180",−9.17 USDT,−9.17%,11.45 USDT,11.28%,149,52.35%,0.689,0,,0,10,180
"10, 190",−15.97 USDT,−15.97%,17.94 USDT,17.80%,147,51.02%,0.531,0,,0,10,190
"10, 20",−21.37 USDT,−21.38%,28.08 USDT,27.80%,461,47.07%,0.728,0,,0,10,20
"10, 200",−12.69 USDT,−12.69%,13.78 USDT,13.78%,135,54.07%,0.59,0,,0,10,200
"10, 210",−16.26 USDT,−16.26%,17.69 USDT,17.69%,133,54.14%,0.495,0,,0,10,210
"10, 220",−14.69 USDT,−14.69%,17.29 USDT,17.29%,131,51.15%,0.527,0,,0,10,220
"10, 230",−14.14 USDT,−14.14%,16.83 USDT,16.83%,133,50.38%,0.549,0,,0,10,230
"10, 240",−12.10 USDT,−12.10%,15.46 USDT,15.46%,133,48.12%,0.595,0,,0,10,240
"10, 250",−14.66 USDT,−14.66%,15.45 USDT,15.45%,127,51.97%,0.528,0,,0,10,250
"10, 260",−12.63 USDT,−12.63%,13.43 USDT,13.43%,127,54.33%,0.588,0,,0,10,260
"10, 270",−11.24 USDT,−11.24%,12.03 USDT,12.03%,127,55.12%,0.615,0,,0,10,270
"10, 280",−7.19 USDT,−7.19%,7.99 USDT,7.99%,122,60.66%,0.714,0,,0,10,280
"10, 290",−7.43 USDT,−7.43%,8.46 USDT,8.44%,115,62.61%,0.699,0,,0,10,290
"10, 30",−13.66 USDT,−13.78%,18.60 USDT,18.57%,378,49.21%,0.797,0,,0,10,30
"10, 300",−6.00 USDT,−6.00%,6.79 USDT,6.79%,116,56.90%,0.742,0,,0,10,300
"10, 310",−7.71 USDT,−7.71%,8.66 USDT,8.66%,104,54.81%,0.676,0,,0,10,310
"10, 320",−6.60 USDT,−6.60%,7.63 USDT,7.63%,110,52.73%,0.704,0,,0,10,320
"10, 330",−5.12 USDT,−5.12%,6.91 USDT,6.91%,108,48.15%,0.749,0,,0,10,330
"10, 340",−8.29 USDT,−8.29%,8.80 USDT,8.80%,100,51.00%,0.621,0,,0,10,340
"10, 350",−8.32 USDT,−8.32%,9.49 USDT,9.47%,98,55.10%,0.635,0,,0,10,350
"10, 360",−6.79 USDT,−6.79%,9.81 USDT,9.59%,99,53.54%,0.684,0,,0,10,360
"10, 370",−5.92 USDT,−5.92%,9.51 USDT,9.33%,100,51.00%,0.731,0,,0,10,370
"10, 380",−6.56 USDT,−6.56%,10.72 USDT,10.48%,98,51.02%,0.686,0,,0,10,380
"10, 390",−8.74 USDT,−8.74%,12.72 USDT,12.45%,94,50.00%,0.607,0,,0,10,390
"10, 40",−15.51 USDT,−15.50%,20.78 USDT,20.78%,325,50.46%,0.734,0,,0,10,40
"10, 400",−2.85 USDT,−2.85%,7.93 USDT,7.70%,92,55.43%,0.846,0,,0,10,400
"10, 410",−0.46 USDT,−0.46%,4.90 USDT,4.78%,92,54.35%,0.971,0,,0,10,410
"10, 420",−0.36 USDT,−0.36%,4.94 USDT,4.84%,88,53.41%,0.976,0,,0,10,420
"10, 430",−2.07 USDT,−2.07%,7.32 USDT,7.15%,90,52.22%,0.877,0,,0,10,430
"10, 440",−3.17 USDT,−3.17%,8.28 USDT,8.02%,88,48.86%,0.807,0,,0,10,440
"10, 450",−5.17 USDT,−5.17%,7.19 USDT,7.09%,82,50.00%,0.686,0,,0,10,450
"10, 460",−7.72 USDT,−7.72%,9.83 USDT,9.67%,80,52.50%,0.572,0,,0,10,460
"10, 470",−8.93 USDT,−8.93%,10.89 USDT,10.78%,86,51.16%,0.543,0,,0,10,470
"10, 480",−10.52 USDT,−10.52%,11.60 USDT,11.52%,88,47.73%,0.47,0,,0,10,480
"10, 490",−6.33 USDT,−6.33%,8.53 USDT,8.37%,90,50.00%,0.644,0,,0,10,490
"10, 50",−21.08 USDT,−21.10%,22.92 USDT,22.92%,285,51.58%,0.651,0,,0,10,50
"10, 500",−10.91 USDT,−10.91%,12.17 USDT,12.04%,90,50.00%,0.472,0,,0,10,500
